type,index,text,url,title
link,16,Create account,/w/index.php?title=Special:CreateAccount&returnto=Man,"You are encouraged to create an account and log in; however, it is not mandatory"
link,17,Log in,/w/index.php?title=Special:UserLogin&returnto=Man,"You're encouraged to log in; however, it's not mandatory. [alt-o]"
link,19,Create account,/w/index.php?title=Special:CreateAccount&returnto=Man,"You are encouraged to create an account and log in; however, it is not mandatory"
link,20,Log in,/w/index.php?title=Special:UserLogin&returnto=Man,"You're encouraged to log in; however, it's not mandatory. [alt-o]"
link,49,Afrikaans,https://af.wikipedia.org/wiki/Man,Man – Afrikaans
link,50,Alemannisch,https://als.wikipedia.org/wiki/Mann,Mann – Alemannic
link,56,Armãneashti,https://roa-rup.wikipedia.org/wiki/B%C3%A2rbatu,Bârbatu – Aromanian
link,87,Dansk,https://da.wikipedia.org/wiki/Mand,Mand – Danish
link,89,Deutsch,https://de.wikipedia.org/wiki/Mann,Mann – German
link,100,Frysk,https://fy.wikipedia.org/wiki/Man_(sekse),Man (sekse) – Western Frisian
link,118,Interlingue,https://ie.wikipedia.org/wiki/Mann,Mann – Interlingue
link,139,Lëtzebuergesch,https://lb.wikipedia.org/wiki/Mann,Mann – Luxembourgish
link,142,Limburgs,https://li.wikipedia.org/wiki/Manskaerel,Manskaerel – Limburgish
link,162,Nederlands,https://nl.wikipedia.org/wiki/Man_(geslacht),Man (geslacht) – Dutch
link,163,Nedersaksies,https://nds-nl.wikipedia.org/wiki/Man_(geslacht),Man (geslacht) – Low Saxon
link,167,Norsk bokmål,https://no.wikipedia.org/wiki/Mann,Mann – Norwegian Bokmål
link,168,Norsk nynorsk,https://nn.wikipedia.org/wiki/Mann,Mann – Norwegian Nynorsk
link,169,Nouormand,https://nrm.wikipedia.org/wiki/Houme,Houme – Norman
link,176,Patois,https://jam.wikipedia.org/wiki/Man,Man – Jamaican Creole English
link,179,Plattdüütsch,https://nds.wikipedia.org/wiki/Mann,Mann – Low German
link,183,Ripoarisch,https://ksh.wikipedia.org/wiki/Mann,Mann – Colognian
link,184,Română,https://ro.wikipedia.org/wiki/B%C4%83rbat,Bărbat – Romanian
link,192,Scots,https://sco.wikipedia.org/wiki/Man,Man – Scots
link,196,Simple English,https://simple.wikipedia.org/wiki/Man,Man – Simple English
link,206,Svenska,https://sv.wikipedia.org/wiki/Man,Man – Swedish
link,236,Batak Mandailing,https://btm.wikipedia.org/wiki/Alaklai,Alaklai – Batak Mandailing
link,242,Article,/wiki/Man,View the content page [alt-c]
